Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,189,191,191,189,188,188,188,189,189,190,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,
Albania,ALB,24,24,24,24,24,24,24,24,26,27,23,21,23,21,21,20,18,17,17,17,17,17,16,18,19,
Algeria,DZA,64,64,65,67,69,71,74,76,79,81,83,85,87,88,89,90,90,90,90,89,87,85,83,81,78,
American Samoa,ASM,26,8.3,9.8,10,10,12,13,15,7.2,9.4,6.9,6.8,7.1,6.6,11,13,8.3,6.1,6,7.9,7.8,7.8,7.3,7.2,7,
Andorra,ADO,49,46,42,39,36,33,30,26,23,20,18,16,14,13,12,12,11,10,9.5,9.1,8.8,8.6,8.7,8.9,9.2,
Angola,AGO,253,253,254,256,259,262,267,273,280,288,297,308,320,334,350,368,377,379,382,385,384,383,380,376,370,
Antigua and Barbuda,ATG,3.1,3.7,4.1,4.5,4.7,4.9,4.9,4.8,4.5,4.4,4.4,4.6,4.6,4.5,4.2,4.2,4.4,4.7,5.1,5.4,5.8,6.2,6.6,7.1,7.6,
Argentina,ARG,43,44,44,44,44,43,42,41,40,38,37,36,34,33,32,31,29,27,26,25,25,24,24,24,24,
Armenia,ARM,18,21,24,29,34,39,43,48,52,57,61,66,70,74,76,77,77,75,71,67,63,58,53,49,45,
Aruba,ABW,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,12,12,11,
Australia,AUS,6.6,6.6,6.7,6.7,6.7,6.6,6.6,6.5,6.4,6.3,6.1,6,5.9,5.9,6,6.1,6.2,6.3,6.4,6.4,6.5,6.5,6.5,6.4,6.4,
Austria,AUT,21,21,21,20,20,19,19,18,18,17,16,15,14,14,13,12,12,11,10,9.8,9.3,8.9,8.5,8.1,7.8,
Azerbaijan,AZE,319,384,453,521,584,638,680,708,719,711,681,630,564,489,412,341,279,229,187,154,128,109,95,85,77,
"Bahamas, The",BHS,21,23,25,27,29,29,30,30,29,28,26,24,22,20,18,17,16,15,14,14,13,13,12,12,12,
Bahrain,BHR,34,28,23,20,17,16,15,17,19,22,26,31,34,36,36,36,35,33,31,29,27,24,21,18,14,
Bangladesh,BGD,226,225,224,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,224,227,
Barbados,BRB,2.7,2.3,2,1.8,1.6,1.5,1.5,1.5,1.7,1.9,2.4,3.2,3.7,4.1,4.5,4.6,4.3,3.8,3.3,2.9,2.5,2,1.6,1.3,0.91,
Belarus,BLR,35,41,48,56,63,70,75,79,82,83,83,82,79,76,73,74,73,73,72,70,69,67,64,61,58,
Belgium,BEL,18,17,17,16,16,15,15,15,14,14,14,13,13,13,12,12,11,11,10,10,9.8,9.6,9.3,9.1,9,
Belize,BLZ,41,42,43,43,45,47,51,55,58,60,60,57,52,46,42,38,35,35,35,35,36,36,37,37,37,
Benin,BEN,127,120,114,108,104,100,96,94,91,89,86,83,80,78,75,73,71,69,69,69,68,67,66,64,61,
Bermuda,BMU,4.6,4.9,4.9,4.8,4.5,4,3.6,2.7,1.6,0.96,1.4,2.3,3.1,4,5.1,5.8,5.8,5.5,5.1,4.5,3.8,2.9,2,0.9,0,
